          FW          	CUT	SVN	Coex
rtl8761au8192ee_fw    	 D	13328	3736
rtl8761a_fw           	 D	13328	3736
rtl8761au_fw          	 D	20340	0007
rtl8761aw8192eu_fw    	 D	20340	0007
rtl8723ds_fw          	 C	21291	2d2d
rtl8761bt_fw          	 B	21127	0606
rtl8822b_fw           	 C	21253	6c6c
rtl8821cs_fw          	 B	21209	3939
rtl8761at_fw          	 D	20340	0007
rtl8822c_fw           	 D	21363	0606
rtl8761b_fw           	 B	21127	0606
rtl8761au8812ae_fw    	 D	19648	0006
rtl8821as_fw          	 B	19884	635d
rtl8821a_fw           	 B	19884	635d
rtl8723bs_fw          	 B	19897	6d50
rtl8723b_fw           	 B	19897	6d50
rtl8822cs_fw          	 D	21363	0606
rtl8821c_fw           	 B	21209	3939
rtl8822bs_fw          	 C	21253	6c6c
rtl8723d_fw           	 C	21291	2d2d
rtl8761at8192er_fw    	 D	20340	0007
rtl8723bs_VQ0_fw      	 B	14422	5844
